prompt,precision at k,mean reciprocal rank,average precision,cumulative gain,normalized discounted cumulative gain
When should needleless connectors be changed and what are the specific exceptions to the 96hour guideline,0.8,0.521,1.0,5,0.537
What types of diagnostic and therapeutic procedures are performed in the Gastroenterology Procedure Unit,0.6,0.396,0.8,6,0.699
Where can the Central Venous Catheter Policy document be found,0.6,0.458,0.8,8,0.587
What are the steps to be taken in case of a discrepancy in any count during an interventional radiology procedure,0.6,0.458,0.8,7,0.551
What is the proper sequence for doffing PPE when exiting the buffer room after sterile compounding,0.6,0.271,0.8,9,0.952
What is the purpose of the MetaNeb System in therapy,0.2,0.25,0.2,5,0.662
How many bed spaces in the unit have the capability to support cardiac respiratory and pulse oximetry monitoring,0.8,0.521,1.0,20,1.685
What specific content is covered in The Patient Care Manual related to postpyloric feeding tube insertion policy and procedure,0.8,0.521,1.0,8,0.85
What should Covered Individuals do if they experience a change that would affect their ability to wear a respirator such as significant weight gainloss or change in facial structure due to surgery,0.8,0.521,1.0,5,0.643
What specific criteria must a patient meet in order to be considered eligible for donor lymphocyte infusion as outlined in SOP  C702 Patient Selection Criteria,0.8,0.521,1.0,6,0.446
What are the patient populations that may benefit from closed suctioning without manual ventilation,0.8,0.521,1.0,5,0.627
What is the process for returning identification badges upon termination of employment or assignment,0.8,0.521,1.0,6,0.714
What is the process for obtaining an ID badge for Medical Staff and what should they do if their badge expires,0.8,0.521,1.0,6,0.635
What is the age range of patients served by CAIR,0.8,0.521,1.0,0,0.0
Where can patients and families find the Kidney Biopsy Family Education resources,0.8,0.521,1.0,7,0.813
What are the preoperative nutritional factors that have been shown to be predictive of a postoperative spinal infection and what are the contributory factors to postoperative spinal fusion complications for children with myelomeningocele,0.6,0.396,0.6,2,0.204
How should the nurses maintain patient and team member safety during the delivery of electrical therapy as per the hospital policy,0.8,0.521,1.0,1,0.143
Does our hospital perform onsite cannulation for ECMO and if not what is the protocol for transporting patients who have been cannulated at a referring facility,0.8,0.521,1.0,9,0.862
What are the potential risks associated with holding enteral feeds around packed RBC transfusions for very low birth weight infants,0.8,0.521,1.0,6,0.68
In the referenced document what are the key components of the adult basic and advanced life support protocols as outlined by the American Heart Association,0.6,0.438,0.8,-5,-0.421
What are the steps to be taken if a suspicious package is discovered and deemed significant,0.6,0.458,0.8,11,1.073
What are the responsibilities of an IND Sponsor in maintaining effective IND prompt reporting and ensuring control and representation of investigational drugs,0.8,0.521,1.0,11,1.083
How should safety concerns be documented and communicated to management during the shift briefing,0.8,0.521,1.0,8,0.813
According to the policy who is ultimately responsible for ensuring that all delegates have appropriate training experience and competence to undertake medical management,0.8,0.521,1.0,6,0.503
When should a bolus feeding be administered via an enteral feeding pump instead of by gravity,0.8,0.521,1.0,13,1.279
What medications should the CCTT prepare prior to a circuit change according to the hospital protocol,0.8,0.521,1.0,6,0.733
What are the relevant aspects of a patients care that providers are expected to inform the patient andor parentsguardian about according to the hospital policy,0.8,0.521,1.0,5,0.662
What guidelines must be followed when reporting adverse events externally,0.8,0.521,1.0,12,1.172
What does NPO stand for and what does it mean in the context of patient care,0.4,0.333,0.6,1,0.143
What should a nurse do if a minor refuses consent for a potentially lifesaving treatment and negotiation for consent is unsuccessful,0.8,0.521,1.0,5,0.662
What is the process for submitting revised consents and recruitment notices for review in the CHeRP system,0.8,0.521,1.0,9,0.947
What are the expected patient outcomes that we should monitor after the insertion of a postpyloric feeding tube,0.8,0.521,1.0,2,0.286
In what way are the activities for improving performance in the Food Service Department integrated into the facilitys Quality Assessment  Performance Improvement QAPI Program,0.8,0.521,1.0,6,0.717
What type of face protection should be worn to protect mucous membranes during activities that may generate splashes or sprays of blood and body fluids as outlined in the hospital policy,0.8,0.521,1.0,10,1.056
What should a nurse do if a patient with an AICD experiences a malfunction or failure,0.4,0.375,0.6,11,1.088
How can you verify informed consent if paper consent is not produced in person or sent via email,0.8,0.521,1.0,5,0.633
What is the process for handling a case of research misconduct if the respondent provides a signed and legally sufficient admission in writing,0.8,0.521,1.0,4,0.571
What is the purpose of using IV additive transfer sets in the hospital setting,0.8,0.521,1.0,6,0.723
Where can nurses find the Family Education Sheet for Pregnancy Testing of PostMenarcheal Female Patients at Childrens Hospital,0.8,0.521,1.0,5,0.421
What are the key findings of the Cochrane systematic review regarding dressing and securement for central venous access devices CVADs,0.8,0.521,1.0,0,0.0
What steps should be taken by the Onsite North Dartmouth Manager or Designee in response to a water supply problem and how should they communicate with clinical areas throughout the incident,0.8,0.521,1.0,9,1.003
Why is it important to debrief every transport regarding positive andor negative outcomes with all team members involved,0.8,0.521,1.0,15,1.392
When is it necessary to obtain the approval of updated information from individuals allowed to consent on behalf of the patient,0.8,0.521,1.0,4,0.484
What types of testing are included in nutritional testing in the Gastroenterology Procedure Unit,0.6,0.458,0.8,6,0.699
What are the indications for administering ondansetron to patients presenting at triage with signs and symptoms of gastroenteritis,0.8,0.521,1.0,4,0.571
What are the business hours for CAIRs outpatient clinic and when are the clinic sessions scheduled,0.8,0.521,1.0,4,0.571
How are research records handled and what access does the Respondent have during the proceeding according to the research misconduct policy,0.8,0.521,1.0,6,0.59
How is the MWT test ended and what information needs to be labeled on the lights on page,0.8,0.521,1.0,13,1.251
In what situations would the hospital retain jurisdiction over research misconduct proceedings as outlined in the policy,0.8,0.521,1.0,3,0.376
What is the purpose of ensuring timely attention and followup for red flagged incidents that need further discussion and followup,0.2,0.125,0.4,4,0.484
How can sponsorinvestigators prepare for FDA inspections in order to minimize the likelihood of receiving Form FDA 483 citing objectionable practices,0.8,0.521,1.0,9,0.887
What is the purpose of newborn hearing screening and what does it entail,0.6,0.458,0.8,5,0.556
What are the specific requirements for complete patient care documentation as described in the Nursing Standards and Guidelines,0.8,0.521,1.0,10,0.977
According to the AASM Practice Guidelines what is the recommended duration for the 40minute MWT protocol and when may it be indicated for use,0.8,0.521,1.0,7,0.554
How does the policy define undue hardship in relation to providing reasonable accommodations for employees,0.8,0.521,1.0,7,0.789
What are the criteria for diagnosing a superficial incisional Surgical Site Infection SSI,0.6,0.438,0.8,9,1.003
What steps should be taken to implement Cardiac Resynchronization Therapy Echo for the patient including monitoring and obtaining baseline vital signs,0.8,0.521,1.0,11,1.004
How many alcohol pads are required for the central venous catheter CVC needleless connector procedure,0.8,0.521,1.0,9,0.744
How do you record the Lot numbers and Expiration Dates of Liposorber Treatments in the system,0.8,0.521,1.0,8,0.526
What are the key result indicators KRIs that will be used to measure and assess the identified areas of focus in the QAPI Plan for the Food Service Department,0.8,0.521,1.0,6,0.633
What precautions should be taken in the transport environment for a patient with an AICD to avoid interference with AICD performance,0.8,0.521,1.0,10,1.056
How often should the outer set of gloves be changed during compounding in the sterile hazardous drug HD compounding room,0.8,0.521,1.0,10,0.969
What considerations should be made for a patient undergoing postpyloric feeding tube insertion in terms of antianxiety medication comfort measures and distraction techniques,0.6,0.438,0.8,4,0.366
What are the concentrations and types of Morphine infusions specified in the document and what are their respective volumes and diluents,0.0,0.0,0,0,0.0
Who is responsible for receiving the controlled substance upon delivery and who is responsible for delivering it,0.8,0.521,1.0,12,1.132
How is nursing care in the unit consistent with the Massachusetts Nurse Practice Act ANA standards and the standards and policies of the Department of Nursing,0.8,0.521,1.0,12,1.128
Are vaccine providers required to obtain a signature acknowledging receipt of a Vaccine Information Statement VIS according to the hospitals policy,0.8,0.521,1.0,6,0.752
What recommendations should the technologist make to the patient before discharging them from the facility at the end of the study,0.8,0.521,1.0,5,0.429
What system is utilized for electronic submission of protocols and how does it provide information to IRB members for review,0.8,0.521,1.0,11,1.045
What specific guidelines or recommendations are outlined in the document for managing a patient with a polyester allergy,0.8,0.521,0.8,1,0.143
When should focused patientfamily education on the ERAS protocol be provided according to the hospital policies,0.6,0.396,0.8,3,0.376
Who is responsible for coordinating the chemical inventory reconciliation process on hazardous materials used andor stored in the lab,0.8,0.521,1.0,10,0.815
What type of medications cannot be administered through a 02micron filter and what are some examples of these medications,0.8,0.521,1.0,3,0.429
What is the purpose of an Inquiry in the research misconduct policy,0.6,0.438,0.8,5,0.627
In the event that the incident requires additional resources who does the North Dartmouth Manager notify at the main campus and how can they be reached,0.8,0.521,1.0,8,0.847
What is the process for determining the credibility of an allegation of research misconduct and who is involved in making this determination,0.8,0.521,1.0,4,0.519
What is the process for requesting time off to observe a religious holiday according to hospital policy,0.8,0.521,1.0,9,0.861
How are staff inservices and continuing education programs provided to maintain staff competency and how are educational needs identified for these programs,0.8,0.521,1.0,20,1.685
What is the circulation cycle example for 300mL whole blood when using the Liposorber MA03 Polic for LDL Apheresis,0.2,0.062,0.4,0,0.0
What steps should a nurse take if an infant does not pass the Newborn Hearing Screening test prior to discharge,0.8,0.521,1.0,13,1.279
What is the protocol for administering radiation to female patients age 12 and over,0.8,0.521,1.0,13,1.269
What are the considerations for Day Surgery DSU patients regarding bringing a Go Bag and home vent for use in PreOp Holding POH and PostAnesthesia Care Unit PACU,0.8,0.521,1.0,-5,-0.421
According to the Synergy Professional Model of Care how is patient care delivery guided and matched to individual nurse competencies,0.8,0.521,1.0,19,1.595
What are the most common indications for a Central Venous Catheter CVC according to the hospital policy,0.2,0.125,0.2,19,1.613
What are the primary functions and services provided by the Gastroenterology Procedure Unit GPU,0.6,0.396,0.8,7,0.842
What are the steps for implementing the medication challenge with adenosine for a patient undergoing minimally invasive procedures,0.8,0.521,1.0,-5,-0.421
According to the hospital policies what are the specific guidelines from the American Heart Association for Advanced Cardiac Life Support and Pediatric Advanced Life Support,0.8,0.521,1.0,-5,-0.421
How should the Heparin Sodium Chloride Injection USP be prepared and used during the apheresis procedure,0.8,0.521,1.0,-5,-0.421
Where can nurses find information about the Hospitals safety policies and standards,0.8,0.521,1.0,2,0.233
How should the impervious low shedding HD coverall be worn and what should be ensured before entering the compounding area,0.8,0.521,1.0,8,0.85
What steps should be taken if the fire suppression system is impacted by an outage at the hospital,0.8,0.521,1.0,17,1.519
What equipment is required for implementing Cardiac Resynchronization Therapy Echo for the patient undergoing minimally invasive procedures,0.8,0.521,1.0,0,0.0
What should a patient who relies on ventilator support bring to the hospital on the day of surgery,0.8,0.521,1.0,6,0.752
What is the duration of validity for informed consent for inpatient services and when would a new consent need to be obtained,0.8,0.521,1.0,7,0.795
What is the typical composition of the Mobile ECMO team,0.8,0.521,1.0,6,0.688
How are protocols prioritized for placement on the agenda for review by the IRB,0.8,0.521,1.0,14,1.271
Who should be notified if an evacuation is required based on the credibility of the bomb threat and what is the process for notifying them,0.8,0.521,1.0,17,1.519
What are the responsibilities of the consultant in terms of providing ongoing advice and guidance during a patients admission and when can the consultant sign off from their involvement,0.8,0.521,1.0,6,0.733
In what situations should nurses consult Infectious Disease ID regarding the use of antibiotics,0.8,0.521,1.0,1,0.143
What exclusion criteria requires further consideration for postpyloric feeding tube insertion in patients,0.8,0.521,1.0,1,0.143
What regulations govern human subject research supported or funded by the National Institute of Justice NIJ and how do they protect the privacy of individuals,0.8,0.521,1.0,12,1.202
What specific certifications and licenses are required for a Registered Nurse RN to work at this hospital,0.8,0.521,1.0,5,0.556
What are the potential causes of a heart murmur in infants and children and why is it important to differentiate between a benign murmur and a murmur indicating heart disease,0.6,0.438,0.8,8,0.657
What forms are required for LDL Apheresis using Liposorber MA03 Polic and when should they be completed,0.2,0.25,0.4,-5,-0.421
What are the proper procedures for handling and disposing of sharps to prevent injuries and accidental exposure,0.6,0.438,0.8,1,0.09
When should a prescriber order for an abdominal xray KUB be obtained after the placement of a postpyloric feeding tube,0.8,0.521,1.0,-5,-0.421
What equipment is required for procedure planning when administering medication or fluids through a central ven vein according to the hospital policy,0.6,0.271,0.8,-5,-0.421
How should a nurse ensure proper recordkeeping and documentation related to payments made to clinical investigators case histories and electronic data for studies covered under the IND,0.8,0.521,1.0,6,0.733
What are the most common organisms involved in surgical site infections SSIs after spinal fusion and what are the specific pathogens for deep SSIs after spinal deformity surgery,0.6,0.438,0.8,0,0.0
What is the purpose of using a standard MWT protocol consistent with AASM practice parameters,0.8,0.521,1.0,13,1.253
How should the transfer set and needle be disposed of after transferring the solution to the sterile evacuated container,0.8,0.521,1.0,10,1.065
What are the requirements for obtaining and maintaining a Privacy Certificate when conducting research funded by NIJ,0.8,0.521,1.0,5,0.59
What are the two types of reports mentioned in the Documentation section of the Critical Incident Policy and Procedure document,0.6,0.396,0.8,8,0.932
When should clean gloves be worn according to the hospitals Standard Precautions PolicyProcedure,0.8,0.521,1.0,10,0.883
What is the activation plan for the CommunicationsTelephone System Failure in North Dartmouth as part of the Hospital Incident Command System HICS,0.8,0.521,1.0,8,0.732
Where can nurses find the adapted material on the American Society for Healthcare Engineering website,0.8,0.521,1.0,4,0.571
Where can nurses find guidelines for line choice when considering a CVC for a patient,0.8,0.521,1.0,19,1.542
What are the potential symptomatic responses a patient may experience during a tilt study and how should the nurse discuss the treatment plan with the prescriber,0.8,0.521,1.0,-5,-0.421
What are the responsibilities of recipient institutions in communicating research misconduct to the NIH according to NOTOD19020,0.8,0.521,1.0,3,0.429
What resources are available to assist employees in learning about the Hospitals safety policies and standards,0.8,0.521,1.0,5,0.383
How can a telephone system disruption affect communication within and outside of the hospital,0.8,0.521,1.0,7,0.795
What medications are specified for use during a tilt table study and where can the dosing information be found,0.6,0.271,0.8,-5,-0.421
What type of containers are large volume parenterals LVP transferred to using IV additive transfer sets,0.8,0.521,1.0,4,0.571
According to the hospital policy what are the required laboratory evaluations prior to receipt of DLI to confirm a patient is appropriate to receive DLI on the day of infusion,0.8,0.521,1.0,-5,-0.421
Who is responsible for supporting discharge planning and utilization review process on 10NW,0.8,0.521,1.0,10,0.975
What is the responsibility of PPSQ in investigating and responding to adverse events and when may this responsibility be delegated to the individual or department reporting the event,0.8,0.521,1.0,8,0.913
Why is it important to avoid using the abbreviation SSRI in medicationrelated documentation,0.0,0.0,0,0,0.0
When must new gloves bouffant mask and beard cover be donned when moving to a nonHD sterile compounding room,0.8,0.521,1.0,10,0.925
At what age is a newborn infant defined for the purpose of hearing screening according to the hospital policy,0.8,0.521,1.0,8,0.692
What are the steps for treating shock according to the CCTT Shock protocol after a successful capture occurs during cardioversion or defibrillation,0.8,0.521,1.0,9,0.94
When should emergency water be used according to the hospital policy,0.6,0.458,0.8,4,0.571
What does LVP stand for in the context of IV Additive Transfer Set Standard Operating Procedures,0.6,0.458,0.6,8,0.932
What are the most common indications for a central venous catheter CVC according to the hospital policy,0.8,0.521,1.0,15,1.264
What are the criteria for discharging a patient from the PACU to home according to the hospitals policy,0.8,0.521,1.0,9,1.003
What is the proper technique for connecting the transfer set to the LVP bottle,0.6,0.438,0.8,-5,-0.421
What are the different data collection methods used by the Department of Orthopedics for quality improvement and why are they important for patient care,0.8,0.521,1.0,12,1.218
What is the stance of Boston Childrens Specialty Pharmacy on the formal discharge process for patients completing a course of therapy or changing pharmacy providers,0.8,0.521,1.0,5,0.662
How should disposable equipment such as the nasal cannula or disposable oximeter probe be handled after use,0.8,0.521,1.0,16,1.464
How is the determination of undue hardship made when considering a request for accommodation for a pregnancy or pregnancyrelated condition at Boston Childrens Hospital,0.8,0.521,1.0,4,0.571
When was the document Specialty Pharmacy  Access to Services Performancpdf last updated by the Document Owner,0.8,0.521,1.0,0,0.0
What are the responsibilities of sponsorinvestigators in establishing recordkeeping and retention systems according to Subpart D of the hospitals policies,0.8,0.521,1.0,9,1.003
How should ventilated patients be monitored for changes in compliance and increased CO2P CO2 levels,0.8,0.521,1.0,6,0.519
How are Adverse Drug Events ADEs categorized and what are the two main categories for ADEs,0.8,0.521,1.0,6,0.733
Why is there uncertainty regarding the causal association between red blood cell transfusions and NEC in neonates,0.8,0.521,1.0,4,0.357
What are some examples of reasonable accommodations for a pregnancy or pregnancyrelated condition that Boston Childrens Hospital may provide to employees,0.8,0.521,1.0,5,0.662
What is the recommended technique for inserting the distal end of the administration set into the filter inlet,0.6,0.458,0.8,4,0.571
Where can additional information on the HICS Organizational Chart be found,0.2,0.125,0.2,4,0.466
Where should minors requesting a termination of pregnancy be referred to in order to obtain the appropriate consent or court order,0.8,0.521,1.0,4,0.571
How should indwelling nasogastric feeding tubes be inserted and managed according to the hospital policy,0.6,0.458,0.8,-5,-0.421
According to the Synergy Professional Model of Care how are patients assigned to nurses based on their individual competencies and patient needs,0.8,0.521,1.0,17,1.5
How should nurses document specific information for patients undergoing minimally invasive electrophysiology studies including medication administration procedure events sedation scoring and patient disposition,0.8,0.521,1.0,5,0.662
What are the expectations for every employee in maintaining a safe environment at Boston Childrens,0.8,0.521,1.0,12,1.103
According to the guidelines for the prevention of intravascular catheterrelated infections what are some strategies to prevent central LineAssociated bloodstream infections in acute care hospitals,0.8,0.521,1.0,0,0.0
When should a nurse contact the Medical Control Physician regarding patients with cardiac arrhythmias,0.8,0.521,1.0,4,0.571
What is the required confirmation for central venous access and double lumen Vortex Ports during the Apheresis Procedure Consents,0.8,0.521,1.0,-4,-0.366
What are the indications for performing synchronized cardioversion and defibrillation in a clinical setting,0.6,0.438,0.8,-4,-0.366
What are the annual requirements for a psychologist PhDPsyD to maintain their Massachusetts Psychology license at our hospital,0.8,0.521,1.0,6,0.633
How long does the hospital retain records related to Research Misconduct proceedings and what documentation is included in this retention,0.6,0.438,0.8,5,0.662
Who should the nurses confirm with regarding the appropriateness of a trachdependent patient for discharge from the postanesthesia care unit PACU to the day surgery unit DSU,0.8,0.521,1.0,9,0.947
Who is responsible for notifying the Senior Clinical Leadership Committee SCLC of any formal HICS activation,0.8,0.521,1.0,20,1.685
What are the potential problems associated with using the abbreviation U in patient care documentation,0.6,0.271,0.8,2,0.286
How does the OPS collaborate with primary care pediatric and specialty pediatric care providers as well as community behavioral clinicians in delivering behavioral health care services,0.8,0.521,1.0,8,0.932
How can a nurse access a surgical services ERAS protocol,0.8,0.521,1.0,5,0.662
What are the qualifications and certifications required for HSCT Hospitalists HH to provide overnight medical care for Pediatric Hematopoietic Stem Cell Transplant HSCT patients,0.8,0.521,1.0,5,0.509
What are the specific items included in the accurate Interventional Radiology count procedure for sharps guidewires and sponges,0.6,0.438,0.8,13,1.193
What is the title of the document and what is the header of the specific section referenced,0.2,0.125,0.4,-5,-0.421
How are Associated Personnel ID badges issued and what should Associated Personnel do if their badge expires,0.8,0.521,1.0,4,0.571
How can you determine if an individual listed under CHB Staff is considered an authorized prescriber at BCH,0.8,0.521,1.0,11,1.063
What is the title of the document related to pressure injury prevention for seat cushions,0.8,0.521,1.0,-5,-0.421
Who is required to be present at the bedside for the circuit change as per the hospital protocol,0.8,0.521,1.0,4,0.571
How is average abandonment rate calculated in the context of a call centers automatic call distribution ACD system,0.6,0.458,0.8,8,0.932
Where can the NIRS electrode be obtained for a tilt table study in the CICU,0.8,0.521,1.0,5,0.662
What is the process for obtaining consent for the administration of blood or blood components during a patients hospital stay,0.8,0.521,1.0,8,0.932
What is the purpose of the Huddle SBAR Script mentioned in the document,0.4,0.312,0.4,1,0.143
What is the process for using a patients medical information including tissue implants or related biological materials for research purposes at Boston Childrens Hospital,0.8,0.521,1.0,8,0.932
What is the date of approval for the Approval Signatures section of the USP 797 Environmental Monitoring Plan,0.8,0.521,1.0,0,0.0
What precautions should be taken when changing needleless connectors and who is required to wear a mask within 6 feet of the patient,0.8,0.521,1.0,9,0.87
When should the Transfusion Medicine Physician or Designee be notified regarding any changes in the patients vital signs during the LDL Apheresis procedure,0.8,0.521,1.0,2,0.233
What actions are taken by the IRB when a research protocol is conditionally approved and how are these actions documented,0.8,0.521,1.0,8,0.759
What are the potential symptomatic responses a patient may experience during the adenosine medication challenge and how should they be treated,0.8,0.521,1.0,-5,-0.421
What is the filename of the document related to Project Day Request Form,0.6,0.396,0.8,-5,-0.421
When is inline suctioning considered for patients with an artificial airway and what factors are considered in making a suction plan for these patients,0.8,0.521,1.0,2,0.233
What is the main focus of the Care of Patients After Termination of Pregnancy document,0.6,0.271,0.6,9,0.987
How can the information in the document Enhanced Recovery After Surgery ERASpdf be utilized to improve patient care in the hospital,0.8,0.521,1.0,5,0.662
What is the header of the Project Day Request Form document,0.8,0.521,1.0,-5,-0.421
In joint proceedings with HMS what is the next step after the final report with conclusions and recommendations is sent for consideration of the HMS Standing Committee on Faculty Conduct,0.6,0.396,0.8,12,1.218
What gauge fistula needle is required for a draw and return during LDL Apheresis using Liposorber MA03 Polic,0.4,0.333,0.6,4,0.571
What is the title of the document and what specific topic does it address,0.2,0.25,0.2,-5,-0.421
What are the responsibilities of the primary and secondary reviewers for new protocol applications in the IRB process,0.8,0.521,1.0,8,0.932
In what instances should humidified supplemental oxygen therapy be administered to patients in the PACU,0.8,0.521,1.0,4,0.571
What are the consequences for employees who do not complete a required periodic health screening after being notified of the requirement,0.6,0.458,0.8,2,0.286
What are the potential consequences of not documenting the care teams activities related to the patients perioperative care,0.8,0.521,1.0,1,0.143
When was the document An Administrative Guide to Onboarding NonBCH Emplpdf approved by the Medical Staff Executive Committee MSEC,0.8,0.521,1.0,-5,-0.421
What is the step description related to Approval Signatures in the document Specialty Pharmacy  Pharmacist Responsibility forpdf,0.8,0.521,1.0,7,0.842
What is the purpose of the Seat Cushion Algorithm for Pressure Injury Prevention document,0.6,0.271,0.6,1,0.143
What are the common risk factors for acquiring CarbapenemResistant Enterobacteriaceae CRE in the hospital setting,0.4,0.208,0.6,-5,-0.421
What are the administration guidelines for the antifibrinolytic agent Aminocaproic Acid Amicar for patients receiving ECMO,0.8,0.521,1.0,-5,-0.421
What is the date of approval for the NICU Steering Committee in the document Enteral Feeding during Red Blood Cell Transfusionpdf,0.4,0.188,0.6,4,0.571
How often should the CCTT RN document ECMO flow rpm and sweep gas and where should this documentation be recorded,0.8,0.521,1.0,8,0.76
How is voting documented at a convened IRB meeting and what is the process for minority reporting,0.8,0.521,1.0,8,0.789
When should films be flagged with an iridescent sticker and what does the sticker indicate,0.4,0.208,0.6,0,0.0
What are the guidelines regarding sharing photos videos or recordings of a patient through social media or as part of a public affairs event,0.8,0.521,1.0,7,0.813
According to the hospital policy what is the basis for sleepstage scoring in the Adult MWT Protocol,0.6,0.458,0.8,11,1.136
What are the addresses of the outpatient care locations for the Department of Psychiatry  Behavioral Health Services,0.8,0.521,1.0,0,0.0
What are the steps to be taken if a patient has gross hematuria during Cyclophosphamide administration,0.8,0.521,1.0,5,0.662
What are the recommended methods for administering enteral feedings and what should be avoided to prevent inadvertent administration via the intravenous route,0.8,0.521,1.0,20,1.685
What services are offered by the Outpatient Psychiatry Service OPS for children and adolescents,0.8,0.521,1.0,10,1.056
What is the title of the attached file related to the environmental monitoring plan,0.4,0.375,0.6,-5,-0.421
How should the catheter be flushed after suctioning and what should be done when thick secretions are present in small diameter airways,0.8,0.521,1.0,10,0.977
Who is responsible for the final review of all reports of action before they are sent to principal investigators,0.8,0.521,1.0,5,0.609
Where can the additional HICS Organizational Chart be found for reference during an emergency situation,0.2,0.125,0.2,14,1.2
What is the main focus of the document Murmurspdf and why is it important for nurses to understand,0.4,0.146,0.6,0,0.0
Who is responsible for ensuring that actions and sanctions related to Allegations of Research Misconduct are implemented promptly and that appropriate parties are notified,0.8,0.521,1.0,6,0.575
How should the provider place orders using the Sepsis SBAR and confirming team member response,0.8,0.521,1.0,9,0.975
According to the PHS Policy what is the focus of the policy on Humane Care and Use of Laboratory Animals,0.6,0.458,0.8,10,0.831
How should the team be involved in the sepsis huddle at the bedside as outlined in the hospital policy,0.8,0.521,1.0,-5,-0.421
When can a splitnight study be performed and what specific criteria must be met during the diagnostic portion of the study before initiation of PAP,0.6,0.458,0.8,10,1.075
Who is responsible for alerting all appropriate staff providers patients and families about a water supply problem at North Dartmouth,0.8,0.521,1.0,9,0.905
How should the surface of the rubber closure on a glass evacuated container be prepared before transferring the sterile solution,0.8,0.521,1.0,11,1.036
How are amendmentsrevisions that do not meet the criteria for expedited review handled during a convened IRB meeting,0.8,0.521,1.0,10,1.03
How should a positive response to MetaNeb therapy be monitored and what schedule should be followed if the patient shows improvement,0.6,0.458,0.8,4,0.571
What are the clinical needs or diagnoses that require the use of the High Risk Suctioning Procedure as outlined in the hospital policy,0.8,0.521,1.0,-5,-0.421
How is quorum defined for a convened IRB meeting and what happens if a quorum is lost during a meeting,0.4,0.333,0.6,4,0.571
What specific statements are included in the Protocol Statements for DoseAdministration of Ondansetron at Triage,0.0,0.0,0,4,0.571
What is the immediate action to be taken upon receiving information regarding a suspicious package or bomb threat at North Dartmouth as per the hospital policy,0.8,0.521,1.0,14,1.334
What should a nurse do if a patient or parentguardian expresses a preference for not having anyone observe their procedure,0.4,0.146,0.6,12,1.218
Where can the documentation of the QMC meeting minutes be found,0.8,0.521,1.0,20,1.685
